Date,Open,High,Low,Close
2/23/18,9829.96,10400,9595,10161.62
2/22/18,10475,10939.9,9740,9829.96
2/21/18,11206.22,11282.53,10248,10475
2/20/18,11166.92,11750,11084.99,11206.22
2/19/18,10403.01,11250,10315,11166.92
2/18/18,11100,11270,10150,10403.01
2/17/18,10183.63,11140.45,10039.73,11100
2/16/18,10017.18,10307.6,9710,10183.63
2/15/18,9480.27,10259.29,9353,10017.18
2/14/18,8519.07,9510,8519.07,9480.27
2/13/18,8900,8940,8379,8519.07
2/12/18,8073.9,8985,8070.68,8900
2/11/18,8553.5,8576.42,7824.48,8073.9
2/10/18,8697.78,9069,8146.78,8553.5
2/9/18,8200,8728.53,7750,8697.78
2/8/18,7582.76,8638.99,7556,8200
2/7/18,7682.75,8589,7200,7582.76
2/6/18,6892.67,7944,5931.34,7682.75
2/5/18,8162.94,8334,6500,6892.67
2/4/18,9221.14,9353.45,7847.39,8162.94
2/3/18,8845.07,9494.86,8123.62,9221.14
2/2/18,9000.73,9090,7603,8845.07
2/1/18,10112.6,10164.68,8411.11,9000.73
1/31/18,10007.42,10299.99,9555,10112.6
1/30/18,11130.34,11168.7,9734.63,10007.42
1/29/18,11633.11,11698,10900,11130.34
1/28/18,11372.85,11878.1,11312.2,11633.11
1/27/18,11091.99,11535,10821.76,11372.85
1/26/18,11114,11600,10300,11091.99
1/25/18,11346.58,11693.7,10805.56,11114
1/24/18,10820.81,11480.01,10500,11346.58
1/23/18,10780,11372.51,9940,10820.81
1/22/18,11501,11865,10026.03,10780
1/21/18,12744.98,12774.17,11112,11501
1/20/18,11535.56,12999,11528.68,12744.98
1/19/18,11298,12018.39,11048.66,11535.56
1/18/18,11240.19,12110,10677.33,11298
1/17/18,11399.01,11850,9125,11240.19
1/16/18,13597.6,13601.25,10001,11399.01
1/15/18,13626.27,14283.26,13400,13597.6
1/14/18,14174.38,14310,13100,13626.27
1/13/18,13815.26,14550,13803.8,14174.38
1/12/18,13301.77,14106,12900,13815.26
1/11/18,14929.39,14970,12810,13301.77
1/10/18,14477.55,14933.42,13500,14929.39
1/9/18,14980.01,15419.24,14161.55,14477.55
1/8/18,16150.15,16250,13825.22,14980.01
1/7/18,17175,17175.01,15741.08,16150.15
1/6/18,16945.5,17236.46,16298.31,17175
1/5/18,15199.99,17124.44,14800,16945.5
1/4/18,15148.92,15503.59,14000,15199.99
1/3/18,14740.09,15400,14583.47,15148.92
